Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
HW543770,9401031,11/21/2013 11:00:00 PM,040XX N LAPORTE AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1624,45,6,1142669,1926640,2013,11/29/2013 12:00:41 PM,41.954752564,-87.750922799,"(41.954752564, -87.750922799)"
HW543869,9401094,11/21/2013 04:00:00 PM,062XX N DRAKE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1711,50,6,1151627,1941076,2013,11/29/2013 09:32:28 AM,41.994194064,-87.717610022,"(41.994194064, -87.717610022)"
HW546048,9402794,10/28/2013 08:00:00 PM,044XX W MONROE ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1113,28,6,1147003,1899338,2013,11/29/2013 11:55:15 AM,41.879751264,-87.735689565,"(41.879751264, -87.735689565)"
HW546060,9402804,11/22/2013 09:00:00 AM,017XX W JULIAN ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1433,1,6,1164617,1909839,2013,11/29/2013 08:34:18 AM,41.908212007,-87.670715552,"(41.908212007, -87.670715552)"
HW546156,9402874,11/23/2013 10:00:00 PM,008XX W LILL AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1935,43,6,1170282,1917114,2013,11/29/2013 10:17:46 AM,41.928053013,-87.649692302,"(41.928053013, -87.649692302)"
HW546266,9402931,11/23/2013 09:15:00 PM,064XX W FULLERTON AVE,890,THEFT,FROM BUILDING,ATHLETIC CLUB,FALSE,FALSE,2512,36,6,1133118,1915291,2013,11/29/2013 11:04:35 AM,41.923782382,-87.786300669,"(41.923782382, -87.786300669)"
HW546258,9402969,11/02/2013 12:00:00 PM,017XX W FOSTER AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2032,47,6,1163903,1934544,2013,11/29/2013 09:48:40 AM,41.976018953,-87.672638926,"(41.976018953, -87.672638926)"
HW546174,9402989,11/24/2013 02:00:00 AM,026XX N GREENVIEW AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1932,32,6,1166005,1917907,2013,11/29/2013 11:00:44 AM,41.930321549,-87.665385922,"(41.930321549, -87.665385922)"
HW546340,9403021,11/24/2013 12:01:00 AM,034XX N NEWCASTLE AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1632,36,6,1130170,1922400,2013,11/29/2013 12:06:28 PM,41.943341425,-87.796969553,"(41.943341425, -87.796969553)"
HW546494,9403103,11/22/2013 05:00:00 PM,036XX N RECREATION DR,810,THEFT,OVER $500,PARK PROPERTY,FALSE,FALSE,1925,46,6,1171989,1924867,2013,11/29/2013 11:22:46 AM,41.949290024,-87.643190401,"(41.949290024, -87.643190401)"
